User ID,Age,Age Group,Gender,Location,Item ID,Title,Type,Genre,Release year,Director/Authors/Artist/Publisher,Rating,description,Interaction ID,Interaction Type,Interaction Time,Country Code,Country
15,71,Elderly,Female,"Davidmouth, DC",29,Tropic of Cancer,Book,Fiction,2005,Henry Miller,7.4,"Miller's groundbreaking first novel, banned in Britain for almost thirty years, now reinvigorated in a new Harper Perennial Modern Classics edition. A penniless and as yet unpublished writer, Henry Miller arrived in Paris in 1930. Leaving behind a disintegrating marriage and an unhappy career in America, he threw himself into the low-life of bohemian Paris with unwavering gusto. A fictional account of Miller's adventures amongst the prostitutes and pimps, the penniless painters and writers of Montparnasse, Tropic of Cancer is an extravagant and rhapsodic hymn to a world of unrivalled eroticism and freedom. Tropic of Cancer's 1934 publication in France was hailed by Samuel Beckett as 'a momentous event in the history of modern writing'. The novel was subsequently banned in the UK and the USA and not released for publication for a further thirty years.",20,Purchase,22-06-2023 13:15,DC,Colombia
16,63,Elderly,Male,"Barneschester, IA",30,Triple-buffered context-sensitive concept,Music,Indie,1981,Amy Richardson,2.7,Age tell against already clearly.,21,Share,17-05-2021 15:45,IA,United States
16,63,Elderly,Male,"Barneschester, IA",31,Welcome Home,Movie,Thrillers,2018,George Ratliff,10,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone.",22,Share,05-05-2023 23:06,IA,United States
17,67,Elderly,Female,"South Andrewborough, MS",32,Johnny and the Dead,Book,Juvenile Fiction,2006,Terry Pratchett,3.9,"After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.",23,View,05-09-2022 01:14,MS,Montserrat
18,72,Old Aged,Male,"Erikton, KY",33,Extraction,Movie,Action & Adventure,2015,Steven C. Miller,2.1,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",24,Purchase,13-03-2021 14:10,KY,Cayman Islands
19,42,Middle Aged,Female,"South Jennifer, PR",34,She's Out of My League,Movie,"Comedies, Romantic Movies",2010,Jim Field Smith,2.9,"Kirk's a 5. His new girlfriend Molly's a 10. No one knows what she sees in him, including Kirk. Will his raging insecurities ruin this budding romance?",25,Share,05-06-2020 00:14,PR,Puerto Rico
20,71,Elderly,Female,"Christopherview, MN",35,Billie Jean,Music,Pop,1982,Michael Jackson,4.4,"A funky pop classic, known for its infectious bassline and iconic dance moves.",26,Dislike,01-02-2022 17:02,MN,Mongolia
21,40,Middle Aged,Male,"Harveyborough, OK",36,Stand-alone disintermediate attitude,Music,R&B (Rhythm and Blues),2014,Maria Wang,3.5,Key focus hope pull. Reason alone together late financial news edge.,27,Purchase,26-04-2020 17:10,OK,United States
22,62,Elderly,Male,"Donnamouth, VA",37,This Is Us,TV Show,"Comedy, Drama",2016,Dan Fogelman,1.3,"Follows the lives and families of three adults living and growing up in the United States of America in present and past times. As their paths cross and their life stories intertwine in curious ways, we find that several of them share the same birthday - and so much more than anyone would expect.",28,Share,25-12-2020 10:28,VA,Holy See
23,28,Young Adult,Male,"North Jaime, MT",38,Futurama,TV Show,"Animation, Comedy, Sci-Fi & Fantasy",2013,Matt Groening,4.6,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",29,Dislike,26-07-2020 19:10,MT,Malta
24,42,Middle Aged,Female,"Bryantchester, NM",39,Fools Rush In,Movie,"Comedies, Romantic Movies",1997,Andy Tennant,1,"When a one-night stand results in a pregnancy, two strangers with opposite personalities rush into marriage then must deal with the consequences.",30,Like,01-07-2024 07:32,NM,Mexico
25,58,Elderly,Male,"Josephside, MP",40,Snow Day,Movie,"Children & Family Movies, Comedies",2000,Chris Koch,5.4,"When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist.",31,View,10-09-2020 12:13,MP,Northern Mariana Islands
26,71,Elderly,Male,"Schwartzstad, AR",41,Wilkins' Tooth,Book,Business enterprises,2002,Diana Wynne Jones,7,"OWN BACK LIMITEDREVENGE ARRANGED, PRICE ACCORDING TO TASK, ALL DIFFICULT TASKS UNDERTAKEN, TREASURE HUNTED, ETC. It seemed like a marvellous scheme at the time! Frank and Jess had set up the business because they needed money - their pocket-money had been stopped just when Frank owed Buster Knell ten pence. Their father had put a quick stop to ERRANDS RUN, so why not try something that was bad instead? Offering to do dreadful things that other people didn't dare to do? So they pinned up the notice on the potting-shed and waited for customers. But of course, nothing's ever THAT straightforward.",32,View,27-05-2020 05:05,AR,Argentina
27,20,Young Adult,Female,"Ramseybury, MH",42,Red Snow,Movie,Dramas,2019,Marie Clements,6.7,"Ambushed by the Taliban, a First Nations soldier from Canada gets captured but escapes in a harrowing journey that stirs up memories of love and loss.",33,Purchase,03-09-2023 21:05,MH,Marshall Islands
28,22,Young Adult,Male,"Sarahstad, MS",43,The Falcon and the Winter Soldier,TV Show,"Action & Adventure, Drama",2021,Malcolm Spellman,8.9,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.",34,Like,15-08-2023 23:04,MS,Montserrat
29,54,Elderly,Female,"Lisachester, OR",44,Labyrinth,Movie,"Action & Adventure, Children & Family Movies, Cult Movies",1986,Jim Henson,7.2,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",35,Like,12-03-2023 02:12,OR,United States
30,49,Middle Aged,Female,"Clarkmouth, IL",45,Modern Mind,Book,Science,2002,Peter Watson,9.5,"From Freud to Babbitt, from Animal Farm to Sartre to the Great Society, from the Theory of Relativity to counterculture to Kosovo, The Modern Mind is encyclopedic, covering the major writers, artists, scientists, and philosophers who produced the ideas by which we live. Peter Watson has produced a fluent and engaging narrative of the intellectual tradition of the twentieth century, and the men and women who created it.",36,Purchase,01-12-2021 23:56,IL,Israel
31,59,Elderly,Female,"North Scott, RI",46,Anybody Out There?,Book,Fiction,2006,Marian Keyes,8.9,"Marian Keyes has introduced readers to the lives, loves, and foibles of the five Walsh sisters -- Claire, Maggie, Rachel, Helen, and Anna -- and their crazy mammy. In this funny, heartbreaking, and triumphant new tale set in the Big Apple, it's Anna's turn in the spotlight. Life is perfect for Anna Walsh. She has the ""Best Job in the World"" as a PR exec for a top-selling urban beauty brand, a lovely apartment in New York, and a perfect husband -- the love of her life, Aidan Maddox. Until the morning she wakes up in her mammy's living room in Dublin with stitches in her face, a dislocated knee, and completely smashed-up hands -- and no memory of how she got there. While her mammy plays nursemaid (just like all of her favorite nurses on her soaps), and her sister Helen sits in wet hedges doing her private investigator work for Lucky Star PI, Anna tries to get better and keeps wondering why Aidan won't return her phone calls or e-mails. Recuperating from her injuries, a mystified Anna returns to Manhattan. Slowly beginning to remember what happened, she sets off on a search to find Aidan -- a hilarious quest involving lilies (she can't stop smelling them), psychics, mediums, and anyone in the city who can promise her a reunion with her beloved. . . . Written in her classic style, marrying the darker parts of life with humor and wit, Anybody Out There? is Marian Keyes's best novel to date, a wonderfully charming look at love here and ever after.",37,View,19-10-2022 09:33,RI,United States
32,26,Young Adult,Male,"Cynthiamouth, AZ",47,Dhanak,Movie,"Comedies, Dramas, Independent Movies",2015,Nagesh Kukunoor,9.5,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,38,Purchase,04-10-2024 08:35,AZ,Azerbaijan
33,52,Middle Aged,Female,"South Thomas, PR",48,Hostel: Part III,Movie,"Cult Movies, Horror Movies",2011,Scott Spiegel,7.1,"In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved.",39,View,12-12-2021 20:41,PR,Puerto Rico
34,45,Middle Aged,Female,"Watsonhaven, PR",49,The Four Seasons,Movie,"Comedies, Romantic Movies",1981,Alan Alda,8.5,"Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics.",40,Like,28-01-2023 04:48,PR,Puerto Rico
35,26,Young Adult,Female,"Lake Jameston, DE",50,Son of a Witch,Book,Fiction,2006,Gregory Maguire,2.7,"Ten years after the publication of Wicked, beloved novelist Gregory Maguire returns at last to the land of Oz. There he introduces us to Liir, an adolescent boy last seen hiding in the shadows of the castle after Dorothy did in the Witch. Bruised, comatose, and left for dead in a gully, Liir is shattered in spirit as well as in form. But he is tended to at the Cloister of Saint Glinda by the silent novice called Candle, who wills him back to life with her musical gifts. What dark force left Liir in this condition? Is he really Elphaba's son? He has her broom and her cape—but what of her powers? Can he find his supposed half-sister, Nor, last seen in the forbidding prison, Southstairs? Can he fulfill the last wishes of a dying princess? In an Oz that, since the Wizard's departure, is under new and dangerous management, can Liir keep his head down long enough to grow up? For the countless fans who have been dazzled and entranced by Maguire's Oz, Son of a Witch is the rich reward they have awaited so long.",41,Like,20-05-2022 04:22,DE,Germany
35,26,Young Adult,Female,"Lake Jameston, DE",51,Warhost of Vastmark,Book,Fiction,1995,Janny Wurts,8,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",42,Dislike,17-12-2021 13:12,DE,Germany
36,73,Old Aged,Male,"Christopherchester, OK",52,Synergized analyzing leverage,Game,Role-Playing Game (RPG),2018,Susan Oneill,1.4,Likely hear husband alone smile news. Risk will whole dream.,43,Dislike,30-07-2023 20:40,OK,United States
37,28,Young Adult,Female,"East Carrie, WA",53,Underworld: Awakening,Movie,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",2012,"Måns Mårlind, Björn Stein",1.8,"As the war between vampires and Lycans rages on, Selene awakens from a prolonged, forced cryogenic sleep to face a harrowing new enemy: humans.",44,Dislike,22-06-2022 18:02,WA,United States
38,42,Middle Aged,Female,"Amandamouth, MI",54,The Sandman,TV Show,"Sci-Fi & Fantasy, Drama",2022,"David S. Goyer, Neil Gaiman, Allan Heinberg",2.5,"After years of imprisonment, Morpheus — the King of Dreams — embarks on a journey across worlds to find what was stolen from him and restore his power.",45,Dislike,07-06-2023 03:45,MI,United States
39,47,Middle Aged,Female,"Port Andrewside, FL",55,Moon Knight,TV Show,"Action & Adventure, Sci-Fi & Fantasy, Mystery",2022,Jeremy Slater,9.2,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",46,Share,29-07-2023 06:09,FL,United States
40,73,Old Aged,Male,"Jameschester, IL",56,Midnight Sun,Movie,"Dramas, Romantic Movies",2018,Scott Speer,4.4,"Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms.",47,Like,05-12-2021 01:09,IL,Israel
41,25,Young Adult,Female,"Jesseberg, ID",57,Spartacus,TV Show,Drama,2017,Steven S. DeKnight,1.3,"Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment.",48,Like,06-05-2023 03:15,ID,Indonesia
42,39,Middle Aged,Male,"East Maryhaven, VT",58,The illustrated man,Book,Fiction,2002,Ray Bradbury,6.8,A book about a woman,49,Like,30-08-2022 05:26,VT,United States
43,28,Young Adult,Female,"Lake Cheryl, NE",59,Island,Book,Fiction,1962,Aldous Huxley,6.5,A shipwrecked journalist discovers the beauty and serentity promoted by science on the island of Pala.,50,Share,05-03-2023 22:29,NE,Niger
43,28,Young Adult,Female,"Lake Cheryl, NE",60,Bridgerton,TV Show,Drama,2020,Chris Van Dusen,7.1,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",51,Share,17-01-2022 07:17,NE,Niger
43,28,Young Adult,Female,"Lake Cheryl, NE",61,1421,Book,History,2004,Gavin Menzies,3.7,"Based on 15 years of in-depth research, ""1421"" traces the voyages of an extraordinary fleet of Chinese ships, whose crews actually charted America 70 years before Columbus. Four 8-page color inserts. 37 maps & diagrams.",52,View,24-05-2023 08:44,NE,Niger
44,80,Old Aged,Male,"Kaylaport, NE",62,South Park,TV Show,"Animation, Comedy",1997,"Trey Parker, Matt Stone",2.3,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",53,Dislike,03-04-2022 14:34,NE,Niger
45,24,Young Adult,Female,"North Amber, CT",63,The Last of the Really Great Whangdoodles,Book,Juvenile Fiction,1996,Julie Andrews Edwards,9.9,"The Whangdoodle was once the wisest, the kindest, and the most extraordinary creature in the world. Then he disappeared and created a wonderful land for himself and all the other remarkable animals -- the ten-legged Sidewinders, the little furry Flukes, the friendly Whiffle Bird, and the treacherous, ""oily"" Prock. It was an almost perfect place where the last of the really great Whangdoodles could rule his kingdom with ""peace, love and a sense of fun""-- apart from and forgotten by people. But not completely forgotten. Professor Savant believed in the Whangdoodle. And when he told the three Potter children of his search for the spectacular creature, Lindy, Tom, and Ben were eager to reach Whangdoodleland. With the Professor's help, they discovered the secret way. But waiting for them was the scheming Prock, who would use almost any means to keep them away from his beloved king. Only by skill and determination were the four travelers able to discover the last of the really great Whangdoodles and grant him his heart's desire. Julie Andrews Edwards, star of stage and screen, has written a unique and beloved story that has become a modern classic. The Last of the Really Great Whangdoodles is sure to continue to delight readers everywhere. This edition includes a new foreword by the author.",54,Like,11-02-2022 13:07,CT,United States
46,50,Middle Aged,Male,"West Joanneport, MI",64,Charms for the Easy Life,Book,Fiction,2005,Kaye Gibbons,9.4,"A family without men, the Birches live gloriously offbeat lives in the lush, green backwoods of North Carolina. Radiant, headstrong Sophia and her shy, brilliant daughter, Margaret, possess powerful charms to ward off loneliness, despair, and the human misery that often beats a path to their door. And they are protected by the eccentric wisdom and muscular love of the remarkable matriarch Charlie Kate, a solid, uncompromising, self-taught healer who treats everything from boils to broken bones to broken hearts. Sophia, Margaret, and Charlie Kate find strength in a time when women almost always depended on men, and their bond deepens as each one experiences love and loss during World War II. Charms for the Easy Life is a passionate, luminous, and exhilarating story about embracing what life has to offer ... even if it means finding it in unconventional ways. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",55,View,15-06-2020 11:10,MI,United States
47,66,Elderly,Male,"East Jason, NC",65,Sleight,Movie,"Dramas, Independent Movies, Sci-Fi & Fantasy",2016,J.D. Dillard,2.4,"Struggling to raise his little sister on his own, a young street magician turns to drug dealing, unaware of how ruthless his supplier can be.",56,Share,27-07-2021 14:44,NC,New Caledonia
48,67,Elderly,Male,"North Shannonside, NM",66,Chernobyl,TV Show,Drama,2019,Craig Mazin,4.4,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,57,Dislike,14-03-2022 21:01,NM,Mexico
49,49,Middle Aged,Male,"South Stephanie, PW",67,Digitized client-driven definition,Game,Sports,1956,Alicia Lewis,7.2,Listen first law sound billion thousand production.,58,View,03-08-2020 18:17,PW,Palau
50,41,Middle Aged,Female,"Rachelton, GU",68,Bo Burnham: Inside,Movie,Stand-Up Comedy,2021,Bo Burnham,9.7,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",59,Purchase,27-08-2023 20:04,GU,Guam
51,33,Young Adult,Male,"Lake Kaylee, OH",69,The Purge,TV Show,"Mystery, Crime, Drama",2014,James DeMonaco,9.6,"Set in a dystopian America ruled by a totalitarian political party, the series follows several seemingly unrelated characters living in a small city. Tying them all together is a mysterious savior who’s impeccably equipped for everything the night throws at them. As the clock winds down with their fates hanging in the balance, each character is forced to reckon with their pasts as they discover how far they will go to survive the night.",60,Share,03-11-2020 11:53,OH,United States
51,33,Young Adult,Male,"Lake Kaylee, OH",70,Castle,TV Show,"Drama, Crime",2009,Andrew W. Marlowe,1.9,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",61,Dislike,20-02-2023 13:41,OH,United States
51,33,Young Adult,Male,"Lake Kaylee, OH",71,Chhota Bheem And The Broken Amulet,Movie,Children & Family Movies,2013,Rajiv Chilaka,4,"When a stranger tries to steal an amulet from the palace, Bheem learns the sad story behind the ornament and heads to Africa to defeat the real villain.",62,Like,25-09-2023 08:58,OH,United States
52,70,Elderly,Male,"Heatherland, WY",72,The Return of the King,Book,"Baggins, Frodo (Fictitious character)",2003,J. R. R. Tolkien,9.8,"THE GREATEST FANTASY EPIC OF OUR TIME While the evil might of the Dark Lord Sauron swarmed out to conquer all Middle-earth, Frodo and Sam struggled deep into Mordor, seat of Sauron's power. To defeat the Dark Lord, the accursed Ring of Power had to be destroyed in the fires of Mount Doom. But the way was impossibly hard, and Frodo was weakening. Weighed down by the compulsion of the Ring he began finally to despair. The awesome conclusion of J.R.R. Tolkien's The Lord of the Rings, beloved by millions of readers around the world.",63,Like,28-04-2022 07:22,WY,United States
53,52,Middle Aged,Male,"West Hannahhaven, ID",73,Ragini MMS 2,Movie,"Horror Movies, International Movies",2014,Bhushan Patel,3.8,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,64,Like,09-09-2020 21:36,ID,Indonesia
54,48,Middle Aged,Male,"Lake Angela, ND",74,Trese,TV Show,"Anime Series, Crime TV Shows, TV Horror",2021,Jay Oliva,5.4,"In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing.",65,Purchase,22-11-2021 05:55,ND,United States
55,73,Old Aged,Female,"East Dawnton, OK",75,Jaws: The Revenge,Movie,"Action & Adventure, Horror Movies, Thrillers",1987,Joseph Sargent,2.4,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",66,Purchase,22-03-2021 18:09,OK,United States
56,77,Old Aged,Male,"Robertoshire, GU",76,Public-key cohesive implementation,Music,Metal,1962,Patricia Humphrey,3.8,Ok whose book draw. Collection parent investment for like according.,67,Purchase,20-12-2023 12:56,GU,Guam
57,43,Middle Aged,Female,"East Allenhaven, MH",77,Lucifer,TV Show,"Crime, Sci-Fi & Fantasy",2016,Tom Kapinos,5.7,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",68,Like,04-08-2023 20:11,MH,Marshall Islands
